Vocabulary,Analogy,Numerical_Ability,Nonverbal_Ability,LET_Results
84,88,58,79,passed
99,58,42,1,failed
50,50,70,73,passed
66,47,94,87,failed
73,98,97,84,failed
84,58,70,73,passed
66,82,79,12,failed
39,32,70,50,passed
25,50,42,42,failed
98,82,94,1,failed
91,58,88,50,passed
39,88,88,50,passed
73,84,42,66,passed
32,58,70,19,passed
79,96,79,79,passed
25,70,58,79,failed
84,94,99,1,failed
91,84,70,79,passed
94,84,58,4,passed
73,47,58,63,passed
39,88,79,79,passed
79,84,58,63,passed
5,70,42,73,failed
58,50,42,84,passed
91,82,79,77,passed
58,94,7,19,failed
32,82,58,66,failed
79,10,79,79,failed
91,82,32,84,passed
58,88,88,94,passed
84,94,42,88,passed
84,82,70,87,passed
14,88,94,63,failed
58,88,94,87,passed
84,70,32,42,failed
50,47,70,63,passed
25,84,70,42,passed
58,84,58,58,passed
91,88,70,87,passed
50,84,42,16,failed
25,94,42,84,passed
58,99,99,1,passed
58,82,58,50,failed
91,88,79,92,passed
91,82,58,84,passed
39,82,32,21,passed
66,94,70,42,passed
84,96,99,1,failed
5,21,7,79,passed
91,88,79,84,passed
98,99,99,1,failed
99,99,88,1,passed
94,99,79,1,passed
39,70,12,73,passed
19,70,88,32,passed
50,70,21,58,passed
84,21,58,63,passed
84,94,88,66,failed
84,88,79,63,passed
39,58,21,84,passed
39,82,32,73,failed
94,47,58,73,failed
66,84,42,63,passed
32,47,79,27,passed
39,47,32,32,passed
19,58,58,73,failed
99,96,21,2,passed
39,50,32,50,failed
73,70,58,77,failed
66,94,21,42,passed
10,32,42,42,failed
99,88,79,88,passed
79,58,58,73,passed
84,70,70,84,passed
91,50,4,66,passed
58,47,94,84,failed
50,82,58,42,failed
91,98,88,47,passed
94,96,88,92,failed
73,47,32,88,passed
58,47,70,50,failed
73,50,88,27,passed
73,47,70,63,passed
91,98,99,1,failed
39,21,88,63,failed
58,82,94,87,passed
5,47,32,47,passed
19,50,79,42,failed
98,82,58,63,passed
50,70,79,79,failed
19,47,70,79,passed
66,21,99,4,failed
39,47,70,63,failed
79,70,79,88,passed
94,88,32,66,passed
91,47,70,92,passed
73,70,70,66,passed
