Vocabulary,Analogy,Numerical_Ability,Nonverbal_Ability,LET_Results
18,21,11,44,1
26,17,10,17,0
13,16,12,42,1
15,15,15,46,1
16,24,16,45,0
18,17,12,42,1
15,19,13,29,0
12,14,12,38,1
10,16,10,36,0
32,19,15,17,0
19,17,14,38,1
12,21,14,38,1
16,20,10,41,1
11,17,12,31,1
17,23,13,44,1
10,18,11,44,0
18,22,17,14,0
19,20,12,44,1
20,20,11,24,1
16,15,11,40,1
12,21,13,44,1
17,20,11,40,1
6,18,10,42,0
14,16,10,45,1
19,19,13,43,1
14,22,6,31,0
11,19,11,41,0
17,11,13,44,0
19,19,9,45,1
14,21,14,49,1
18,22,10,47,1
18,19,12,46,1
8,21,15,40,0
14,21,15,46,1
18,18,9,36,0
13,15,12,40,1
10,20,12,36,1
14,70,58,58,1
19,21,12,46,1
13,20,10,30,0
10,22,10,45,1
14,27,20,16,1
14,19,11,38,0
19,21,13,48,1
19,19,11,45,1
12,19,9,32,1
15,22,12,36,1
18,32,22,18,0
6,13,6,44,1
19,21,13,45,1
23,35,17,16,0
37,27,14,14,1
20,33,27,15,1
12,18,7,42,1
9,18,14,34,1
13,18,8,39,1
18,14,11,40,1
18,22,14,41,0
18,21,13,40,1
12,17,8,45,1
12,19,9,42,0
20,15,11,42,0
15,20,10,40,1
11,15,13,33,1
12,15,9,34,1
9,17,11,42,0
27,23,8,22,1
12,16,9,38,0
16,18,11,43,0
15,22,8,36,1
7,14,10,36,0
24,21,13,47,1
17,17,11,42,1
18,18,12,45,1
19,16,5,41,1
14,15,15,45,0
13,19,11,36,0
19,24,14,37,1
20,23,14,48,0
16,15,9,47,1
14,15,12,38,0
16,16,14,33,1
16,15,12,40,1
19,24,20,13,0
12,13,14,40,0
14,19,15,46,1
6,15,9,37,1
9,16,13,36,0
23,19,11,40,1
13,18,13,44,0
9,15,12,44,1
15,31,19,24,0
12,15,12,40,0
17,18,13,47,1
20,21,9,41,1
19,15,12,48,1
16,18,12,41,1
